Task,Shots,Accuracy,F1,BLEU,File
injongointent_swa_prompt_1,0,0.0187,0.0011,N/A,sw_intent_0shot_2026-01-27T09-45-07.591389.json
injongointent_swa_prompt_1,5,0.2547,0.207,N/A,sw_intent_5shot_2026-01-27T11-11-21.374355.json
injongointent_swa_prompt_1,5,0.2547,0.207,N/A,sw_intent_5shot_2026-01-27T11-40-35.327860.json
mafand_en-luo_prompt_1,5,N/A,N/A,0.00015317182436456726,mafand_en_luo_5shot_2026-01-27T11-32-56.023062.json
mafand_en-luo_prompt_1,5,N/A,N/A,0.00015317182436456726,mafand_en_luo_2026-01-27T11-55-34.199553.json
mafand_en-swa_prompt_1,5,N/A,N/A,0.0001249620206640579,mafand_en_sw_5shot_2026-01-27T11-18-42.892813.json
mafand_en-swa_prompt_1,5,N/A,N/A,0.0001249620206640579,mafand_en_sw_2026-01-27T11-47-31.263778.json
mafand_luo-en_prompt_1,5,N/A,N/A,0.003455952355976726,mafand_luo_en_5shot_2026-01-27T11-39-23.921399.json
mafand_swa-en_prompt_1,5,N/A,N/A,0.00018682815238555274,mafand_sw_en_5shot_2026-01-27T11-24-48.239813.json
masakhaner_luo_prompt_1,0,N/A,N/A,N/A,luo_ner_2026-01-27T14-37-12.063278.json
masakhaner_luo_prompt_1,0,N/A,N/A,N/A,masakhaner_luo_0shot_2026-01-16T14-55-46.542755.json
masakhaner_luo_prompt_1,0,N/A,N/A,N/A,masakhaner_luo_0shot_investigation_2026-01-16T16-02-26.648276.json
masakhaner_luo_prompt_1,5,N/A,N/A,N/A,masakhaner_luo_5shot_2026-01-16T15-23-47.285735.json
masakhaner_luo_prompt_2,0,N/A,N/A,N/A,masakhaner_luo_prompt_2_0shot_2026-01-16T17-35-22.033409.json
masakhaner_luo_prompt_2,0,N/A,N/A,N/A,masakhaner_luo_prompt_2_0shot_2026-01-16T16-37-38.713565.json
masakhaner_luo_prompt_2,5,N/A,N/A,N/A,masakhaner_luo_prompt_2_5shot_2026-01-16T16-59-59.899345.json
masakhaner_luo_prompt_2,5,N/A,N/A,N/A,masakhaner_luo_prompt_2_5shot_2026-01-16T20-02-07.371221.json
masakhaner_luo_prompt_3,0,N/A,N/A,N/A,masakhaner_luo_prompt_3_0shot_2026-01-16T20-19-39.102073.json
masakhaner_luo_prompt_3,0,N/A,N/A,N/A,masakhaner_luo_prompt_3_0shot_2026-01-16T17-17-53.199351.json
masakhaner_luo_prompt_3,5,N/A,N/A,N/A,masakhaner_luo_prompt_3_5shot_2026-01-16T20-39-07.271056.json
masakhaner_luo_prompt_4,0,N/A,N/A,N/A,masakhaner_luo_prompt_4_0shot_2026-01-16T20-57-28.313639.json
masakhaner_luo_prompt_4,5,N/A,N/A,N/A,masakhaner_luo_prompt_4_5shot_2026-01-16T21-18-16.842863.json
masakhaner_luo_prompt_5,0,N/A,N/A,N/A,masakhaner_luo_prompt_5_0shot_2026-01-16T21-33-43.465177.json
masakhaner_luo_prompt_5,5,N/A,N/A,N/A,masakhaner_luo_prompt_5_5shot_2026-01-16T21-51-46.348269.json
masakhaner_sw_prompt_1,0,N/A,N/A,N/A,masakhaner_sw_prompt_1_0shot_2026-01-16T23-25-10.147529.json
masakhaner_sw_prompt_1,5,N/A,N/A,N/A,masakhaner_sw_prompt_1_5shot_2026-01-20T07-50-58.571823.json
masakhaner_sw_prompt_2,0,N/A,N/A,N/A,masakhaner_sw_prompt_2_0shot_2026-01-20T09-20-09.393116.json
masakhaner_sw_prompt_2,5,N/A,N/A,N/A,masakhaner_sw_prompt_2_5shot_2026-01-20T10-57-23.998341.json
masakhaner_sw_prompt_3,0,N/A,N/A,N/A,masakhaner_sw_prompt_3_0shot_2026-01-20T13-05-15.623398.json
masakhaner_sw_prompt_3,5,N/A,N/A,N/A,masakhaner_sw_prompt_3_5shot_2026-01-20T14-39-34.607791.json
masakhaner_sw_prompt_4,0,N/A,N/A,N/A,masakhaner_sw_prompt_4_0shot_2026-01-20T16-00-53.783029.json
masakhaner_sw_prompt_4,5,N/A,N/A,N/A,masakhaner_sw_prompt_4_5shot_2026-01-21T10-17-32.277852.json
masakhaner_sw_prompt_4,5,N/A,N/A,N/A,masakhaner_sw_prompt_4_5shot_2026-01-20T18-09-05.860658.json
masakhaner_sw_prompt_5,0,N/A,N/A,N/A,masakhaner_sw_prompt_5_0shot_2026-01-20T19-15-56.810215.json
masakhaner_sw_prompt_5,0,N/A,N/A,N/A,masakhaner_sw_prompt_5_0shot_2026-01-21T11-25-01.456791.json
masakhaner_sw_prompt_5,5,N/A,N/A,N/A,masakhaner_sw_prompt_5_5shot_2026-01-21T13-00-14.320932.json
masakhanews_som_prompt_1,5,0.0,0.0,N/A,som_news_5shot_2026-01-27T17-14-42.247830.json
masakhanews_som_prompt_1,5,0.0,0.0,N/A,som_news_5shot_2026-01-27T17-11-24.232781.json
masakhanews_som_prompt_1,5,0.0,0.0,N/A,som_news_2026-01-27T17-03-55.826631.json
masakhanews_swa_prompt_1,0,0.0,0.0,N/A,sw_news_0shot_2026-01-26T16-37-49.306401.json
masakhanews_swa_prompt_1,0,0.0,0.0,N/A,sw_news_0shot_FIXED_2026-01-26T16-51-33.609132.json
masakhanews_swa_prompt_1,5,0.0,0.0,N/A,sw_news_5shot_2026-01-26T16-45-57.527679.json
sib_kik_prompt_1,5,0.402,0.3907,N/A,kik_topics_2026-01-27T16-57-12.083895.json
sib_kik_prompt_1,5,0.402,0.3907,N/A,kik_topics_2026-01-27T17-08-00.287818.json
sib_luo_prompt_1,5,0.3676,0.355,N/A,luo_sib_topics_2026-01-27T14-43-15.393037.json
sib_swa_prompt_1,5,0.5931,0.5797,N/A,sw_sib_topics_2026-01-27T14-40-13.890626.json
